Device Type,Network Technology,LTE catagory support
Router,LTE with GSM/UMTS and 5G NR NSA,Cat 20
Router,LTE with GSM/UMTS and 5G NR NSA,Cat 20
Router,LTE with GSM/UMTS and 5G NR NSA,Cat 20
Airborne,LTE Only,Cat 16
Vehicle Monitoring,LTE with GSM/UMTS,Cat M1
Router,LTE Only,Cat 1
Router,LTE with GSM/UMTS,Cat 20
Router,LTE with GSM/UMTS,Cat 12
Camera,LTE Only,Cat 4
Tablet,LTE Only,Cat 12
Remote Monitoring and Control,LTE Only,Cat M1
Remote Monitoring and Control,LTE Only,Cat M1
Remote Monitoring and Control,LTE Only,Cat M1
Router,LTE with 5G NR NSA,Cat 20
Router,LTE with 5G NR NSA,Cat 22
Asset Tracking,LTE Only,Cat M1
Remote Monitoring and Control,LTE Only,Cat M1
Asset Tracking,LTE Only,Cat M1
Router,LTE Only,Cat 4
Router,LTE with GSM/UMTS,Cat 7
Router,LTE with GSM/UMTS,Cat 20
Remote Monitoring and Control,LTE Only,Cat 4
Utility / Smart Grid,LTE Only,Cat M1
Asset Tracking,LTE Only,Cat M1
Modem,LTE Only,Cat M1
Point of Sale / Vending,LTE Only,Cat M1
Router,LTE with GSM/UMTS,Cat 7
Router,LTE with GSM/UMTS,Cat 12
Modem,LTE with GSM/UMTS,Cat M1
Router,LTE with GSM/UMTS,Cat 4
Router,LTE with GSM/UMTS,Cat 4
Remote Monitoring and Control,LTE Only,Cat M1
Camera,LTE Only,Cat M1
Router,LTE with GSM/UMTS,Cat 4
Router,LTE with GSM/UMTS,Cat 20
Router,LTE with GSM/UMTS,Cat 6
Router,LTE with GSM/UMTS,Cat 6
Router,LTE with GSM/UMTS,Cat 6
Router,LTE with GSM/UMTS,Cat 6
Router,LTE with GSM/UMTS,Cat 6
Router,LTE with GSM/UMTS,Cat 6
Remote Monitoring and Control,LTE Only,Cat 4
Asset Tracking,LTE Only,Cat M1
Vehicle Monitoring,LTE with GSM/UMTS,Cat 6
Video Streaming Encoder,LTE Only,Cat 12
Video Streaming Encoder,LTE Only,Cat 12
Camera,LTE Only,Cat 4
Utility / Smart Grid,LTE Only,Cat M1
Router,LTE with GSM/UMTS,Cat 4
Router,LTE with GSM/UMTS,Cat 7
Router,LTE with GSM/UMTS,Cat 7
Router,LTE with GSM/UMTS,Cat 12
Router,LTE with GSM/UMTS,Cat 7
Router,LTE with GSM/UMTS,Cat M1
Router,LTE with GSM/UMTS,Cat M1
Router,LTE Only,Cat 7
Router,LTE Only,Cat 7
Router,LTE Only,Cat 7
Router,LTE Only,Cat 7
Router,LTE with GSM/UMTS,Cat 18
Router,LTE with GSM/UMTS,Cat 18
Modem,LTE Only,Cat 4
Asset Tracking,LTE Only,Cat M1
Remote Monitoring and Control,LTE Only,Cat M1
Wearable,LTE Only,Cat NB1
Remote Monitoring and Control,LTE Only,Cat 1
Smartphone,LTE with GSM/UMTS and 5G NR NSA,Cat 18
Remote Monitoring and Control,LTE Only,Cat M1
Point of Sale / Vending,LTE with GSM/UMTS,Cat 4
Modem,LTE with GSM/UMTS,Cat M1
Asset Tracking,LTE Only,Cat M1
Asset Tracking,LTE Only,Cat M1
Camera,LTE Only,Cat 4
Camera,LTE Only,Cat 1
Smartphone,LTE with GSM/UMTS,Cat 6
Smartphone,LTE with GSM/UMTS and 5G NR NSA,Cat 18
Remote Monitoring and Control,LTE Only,Cat 1
Alarm Panel,LTE Only,Cat NB1+M1
Utility / Smart Grid,LTE Only,Cat M1
Asset Tracking,LTE Only,Cat M1
Telemedicine / Medical,LTE Only,Cat M1
Asset Tracking,LTE Only,Cat M1
Point of Sale / Vending,LTE Only,Cat M1
Utility / Smart Grid,LTE Only,Cat M1
Tablet,LTE with GSM/UMTS,Cat 4
Wearable,LTE Only,Cat M1
Router,LTE Only,Cat 6
Router,LTE with GSM/UMTS,Cat 18
Router,LTE Only,Cat 6
Router,LTE with GSM/UMTS,Cat 18
Router,LTE with GSM/UMTS,Cat 12
Modem,LTE with GSM/UMTS,Cat M1
Asset Tracking,LTE Only,Cat M1
Wearable,LTE Only,Cat 4
Modem,LTE Only,Cat M1
Asset Tracking,LTE Only,Cat M1
Kiosk / Signage,LTE Only,Cat 4
Router,LTE Only,Cat 7
Router,LTE with GSM/UMTS,Cat 6
Asset Tracking,LTE Only,Cat M1
Router,LTE with GSM/UMTS,Cat 7
Rugged Handheld / Smartphone,LTE Only,Cat 4
Router,LTE with 5G NR NSA,Cat 22
Remote Monitoring and Control,LTE Only,Cat 1
Router,LTE with GSM/UMTS,Cat 7
Asset Tracking,LTE Only,Cat M1
Remote Monitoring and Control,LTE with GSM/UMTS,Cat 1
Remote Monitoring and Control,LTE with GSM/UMTS,Cat 1
Development Kit,LTE with 5G NR NSA,Cat 20
Remote Monitoring and Control,LTE Only,Cat 1
Remote Monitoring and Control,LTE Only,Cat 1
Remote Monitoring and Control,LTE Only,Cat 1
Video Streaming Encoder,LTE with GSM/UMTS,Cat 4
Asset Tracking,LTE Only,Cat 1
Router,LTE Only,Cat 4
Laptop,LTE with GSM/UMTS,Cat 9
